prompt,completion
Trolling FEMINIST Classes On Zoom!,Zoom Class Prank
TROLLING SALTY ADMINS with BANNED CARS... GTA 5 RP,GTA 5 RP Admins and Banned Cars
trolling zoom classes... but my boat is sinking,Observing Online Classes While My Vessel is Submerging
Eating MEAT in VEGAN Zoom Classes!,Eating food during online classes.
TROLLING as an ODER in BROOKHAVEN (JUICY..),Playing Brookhaven as an ODER
Living on a clans compound base - Admin Trolling,Observing Daily Life on a Clan's Compound Base - Moderate Pranking
Cloning Clan Compounds in Rust - Admin Trolling,Rust Admins Clone Compounds
TROLLING as a NEXTBOT in Da Hood Voice Chat,Playing a Video Game with Voice Chat
Trolling Feminists on Discord,Feminist Discussion on Discord
Trolling ANGRY BALD Teachers On Zoom!,Observing Teachers on Zoom.
TROLLING KID COPS ON GTA 5 RP,Playing GTA 5 RP with Kids Who Are Also Cops
Trolling with Teleporters (Roblox Obby Creator),Using Teleporters in Roblox Obby Creator
Trolling SALTY ADMINS as BATMAN in GTA 5 RP,Playing GTA 5 RP as Batman
Somebody Is Trolling This Pastor And It IS SO FUNNY,Pastor Receives Online Prank
TROLLING THE ADMINS OF HARRY POTTER ROLEPLAY,Admins of Harry Potter Roleplay Get Trolled.
Trolling TOP PLAYERS with an IMPOSSIBLE CHALLENGE,Playing a Game with Some People
Funny Troll Football Memes V183,Football Memes Compilation
Trolling Children on Roblox as Karen,Playing Roblox as a Parent
TROLLING AS AN HR AT VINNS HOTELS!!! - ROBLOX Trolling!!,HR Employee Plays Pranks in Virtual Hotel Game
Solvathellam unmai troll|latest Tamil troll|TMM,Tamil Troll Video
Shotzzy Trolling Karma! 🤣,Two gamers play a video game and make jokes.
Your Hair is visible AIR [ASMR] Hairdresser Roleplay,ASMR Haircut Sounds for Relaxation
ASMR The Sleepiest Session 🌧 Rainy Evening Whispers &amp; Personal Attention for Sleep,Whispers and Personal Attention for Sleep
"ASMR Medical Triggers On Your EARS (Up Close Sounds, Tingles, Sleep, Study, Intense)",Medical ASMR for Ear Stimulation
A Make-Over by Amy Rose (Sonic ASMR),Amy Rose Does a Make-Over
АСМР 🤤❤️ СПОРИМ ТЫ УСНЕШЬ за 10 минут? 😴 ASMR I&#39;ll Help You Fall Asleep in 10 Minutes,ASMR video to help you fall asleep in 10 minutes
"ASMR Realistic Shoe Store (Soft Spoken, Personal Attention)",Shoe Store Experience with Soft Talking and Personal Attention
ASMR Doing Your Makeup For A Date 💕,Putting on Makeup for a Date
🎧ASMR for People Who Want to Tingle Without Earphones / NO TALKING,Silent Sensations: Earphone-Free ASMR with No Dialogue
Ultra Fast RAW NOOB Gamer Sounds 🎮ASMR🕹️,Sounds of a Beginner Gamer Playing in RAW Format
ASMR Gaming 😴 Fortnite 1 Kill = 1 Trigger Relaxing Mouth Sounds 🎮🎧 Controller Sounds + Whispering 💤,Fortnite ASMR with Mouth and Controller Sounds
ASMR | RARE AND SPECIFIC TRIGGERS FOR SLEEP,Sounds that might help you fall asleep
Slow &amp; Relaxing ASMR | Without A Plan 🤍,Unplanned Slow ASMR Video
ASMR ALIEN FULL BODY EXAM DETAILED Medical Roleplay 👽 Cranial Nerve Orbital Eye Sci-Fi Examination,Medical Examination of an Alien's Body Parts
ASMR for Those Who Want to Sleep Soundly Now / 3Hr (No Talking),3 Hour ASMR Video with No Talking
ASMR | Luxury International Flight Attendant Experience | Overnight Flight,Overnight Flight Attendant Experience
"ASMR Relaxing Spa Facial Treatment 💆🏽‍♀️ (Personal Attention, Tingly Skincare, Scalp Massage)",Facial Treatment Video
짜장 낙지다리 🐙 직접 만든 짜장소스 해물찜 먹방 Jjajang Octopus Skewers Stir Fried Seafood Recipe Mukbang ASMR Ssoyoung,Making and Eating Jjajang Octopus Skewers with Homemade Sauce and Stir Fried Seafood
ASMR MUKBANG 편의점 핵불닭 미니!! 떡볶이 &amp; 핫도그 &amp; 치즈 피자 FIRE Noodle &amp; HOT DOG &amp; CHEESE PIZZA EATING SOUND!,"Convenience Store Snacks Mukbang with Spicy Chicken Noodles, Tteokbokki, Hot Dogs, and Cheese Pizza ASMR Eating Sounds"
ASMR | Allergy Test &amp; Skin Treatment Medical Exam,Medical Exam for Allergies and Skin Treatment with ASMR
"GENTLE ASMR FOR INSTANT RELAXATION 💤 Hair Straightening, Spraying, Brushing, Hair Play (no talking)",ASMR Hair Care Routine
【ASMR】ささやきながら、ゆっくり＆早くタッピング【睡眠導入】,Slow and Fast Tapping with Whispering for Sleep Induction.
"ASMR Personal Attention to Fall Asleep FAST (skincare, face tracing, pampering, guided relaxing)",Guided Relaxing for Better Sleep
ASMR: sentando ao seu lado no AVIÃO ✈️  te ajudando a dormir delicadamente!,ASMR: Sitting Next to You on the Plane and Helping You Sleep Gently!
"ASMR raw honey comb eating, mouth sounds 🍯",Eating Honeycomb with Mouth Sounds
"Up Close, Soft, Ear-to-Ear ASMR for Sleep",ASMR Sounds for Relaxation
ASMR Slow to Fast (wet/dry) Mouth Sounds EXTRA Sensitivity for Ultimate Tingles,Mouth Sounds Video
Sculpting You | ASMR,Watching Paint Dry | ASMR
ASMR Flight Attendant Sleep Care Service✈️,Airline Employee Provides Relaxation Techniques for Passengers During Flight
ASMR pour ceux qui n’ont pas de CASQUE/ÉCOUTEURS,ASMR for those without headphones.
"ASMR- CABELEIREIRA GROSSEIRA E APRESSADA DANDO UM TRATO NO SEU CABELO (CORTE, CREME,PENTE,ETC)","Haircut and Styling Session with Rude and Rushed Hairdresser (Cut, Cream, Comb, etc.)"
FASTEST ASMR SOUNDS FOR SLEEP,ASMR Sounds for Sleep
O ASMR MAIS RÁPIDO DE TODOS OS TEMPOS *recorde mundial*,Fastest ASMR video ever recorded sets world record
ASMR Guaranteed Tingles 🤤 99.9% of You Will Sleep / 3Hr (No Talking),Extended Audio Experience for Relaxation and Sleep
asmr ultra sensible mouth sounds,10 minutes of quiet lip smacking and tongue clicking
Gibi ASMR | Playing Would You Rather on an iPad,Person whispers and asks questions on electronic device.
ASMR Shivers Down Your Spine (childhood back tracing games),Childhood Back Tracing Games ASMR
"Fastest ASMR | Daisy, Lorelei, Sybil, Luna, Mistletoe, Bart, Robyn, PomPom, Fleeb Florb, Tatyana",ASMR Compilation Featuring Various Names
ASMR Brain Penetrating Triggers Ear to Ear for Endless Tingles (No Talking),White Noise for Relaxation and Sleep
I got some things I think sound really nice for ASMR,ASMR Sounds.
Professional ASMR Haircut For SLEEP ✂️💈,ASMR Haircut Video
ASMR On My Lap: Face Tracing to Fall Asleep SO Quick,Quietly tracing faces on lap for sleep
ASMR LoFi MOUTH SOUNDS With the Apple Mic,Recording of Mouth Noises Using Apple Microphone
ASMR Follow My Instructions 💗 (very lofi) (gentle background noise),Instructions for Following ASMR with Gentle Background Noise
[ASMR] 전문가의 페스티벌 메이크업 리얼 사운드✨,Professional Festival Makeup with Real Sound ASMR
ASMR FR: Roleplay🤵‍♂️espion🤵‍♂️(tu as une mission sur la Lune !?),ASMR FR: Roleplay espion (tu as une mission sur la Lune !?)
겉바속촉 🔥 곱창 통 대창 염통 3종세트 먹방 Crunchy Beef Intestines Daechang Korean Buldak Ramen Mukbang ASMR Ssoyoung,Eating Various Types of Beef Organs and Spicy Noodles with ASMR Sounds
Happy Morning Music - Positive Feelings and Energy - Relaxing Morning Meditation Music For Wake Up,Morning Music for a Productive Day
Music Mix 2022 🎧 Best Remixes of Popular Songs 🎧 EDM Gaming Music Playlist,2022 Music Mix with Popular Song Remixes and EDM Gaming Playlist
TOP 40 Songs of 2021 2022 \ Best English Songs  (Best Hit Music Playlist) on Spotify  @Sky Music PE,Playlist of Popular English Songs on Spotify by Sky Music PE
Lofi For Reading 📚 Lofi Hip Hop | Study Music 📚 Study Beats | Lofi Study Music,Background Music for Studying
Best Nightcore Songs Mix 2022 ♫ 1 Hour Nightcore ♫ Best of Nightcore Gaming Mix,Nightcore Music Compilation for Gaming
Best Music Mix ♫ No Copyright Gaming Music ♫ Music by Roy Knox and Friends,Roy Knox and Friends' Copyright-Free Gaming Music Mix
2022 New Songs ( Latest English Songs 2022 ) 🥒 Pop Music 2022 New Song 🥒 New Popular Songs 2022,New English Songs for 2022
John Legend - All She Wanna Do (feat. Saweetie) (Official Music Video),John Legend - All She Wanna Do (feat. Saweetie) (Official Music Video)
"Ed Sheeran, Martin Garrix, Kygo, Dua Lipa, Avicii, The Chainsmokers Style - Feeling Me #32",Music Mix #32
"Best EDM Music Mix 2022 ♫ Top NCS Gaming Music ♫ Best EDM Remixes, Trap, House, Dubstep",EDM Music Mix 2022 with NCS Gaming Music and Remixes
"if someone asks you to play music, play this playlist (pt.7)",Playlist for playing music when asked (part 7)
For My Soul | Deep Chill Music Mix,Music Mix for Relaxation
Music to put you in a better mood ~ lofi / relax / stress relief,Background music for relaxation purposes
NLE Choppa - Walk Em Down feat. Roddy Ricch [Official Music Video],Music Video: NLE Choppa and Roddy Ricch Perform 'Walk Em Down'
Chill Songs ♫ Acoustic Love Songs 2022 🍃 Chill Music cover of popular songs,Acoustic Love Songs 2022
Music Mix 2022 🎧 Remixes of Popular Songs 🎧 EDM Best Music Mix,2022 Music Mix with Remixes of Popular Songs and EDM
80s music that will give you memories of your childhood,Compilation of 80s songs
speed up tiktok audios that are such a vibe,Adjusting the tempo of TikTok audio tracks
yvngxchris - GUNNINHIMDOWN [Dir. by @DotComNirvan],yvngxchris - GUNNINHIMDOWN [Dir. by @DotComNirvan]
shiey - settle down (Music Video),Person sits calmly in a room while music plays in the background
10Percent &amp; Moneybagg Yo - Major Payne [Official Music Video],10Percent & Moneybagg Yo - Major Payne [Official Music Video]
Jaana - Stebin Ben ft. Kamya Chaudhary | Jaani | Arvindr Khaira | Hunny Bunny | Desi Melodies,Jaana - Stebin Ben ft. Kamya Chaudhary
14-Year-Old Polish Rising Star Sarah James Makes Simon Cowell EMOTIONAL on AGT Semifinals,Teenager Performs on Talent Show
BEYOND THE BLACK - Is There Anybody Out There? (OFFICIAL MUSIC VIDEO),BEYOND THE BLACK - Is There Anybody Out There? (OFFICIAL MUSIC VIDEO)
"Troye Sivan - Angel Baby💦New OPM Love Song 2022 Aug💦Top 100 Rap OPM Songs💦Kumpas, Kagome, KG x Moira","Troye Sivan - Angel Baby💦New OPM Love Song 2022 Aug💦Top 100 Rap OPM Songs💦Kumpas, Kagome, KG x Moira"
Coldplay Greatest Hits Full Album Playlist - The Best Of Coldplay Nonstop New Songs,Coldplay Compilation of Popular Songs
The Truth About Their Relationship (Official Music Video),Their Relationship (Official Music Video)
BLACKPINK - ‘Pink Venom’ DANCE PRACTICE VIDEO,BLACKPINK - Dance Practice Video
Music Mix 2022 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,2022 Music Mix with EDM Remixes and Gaming Music
"It&#39;s A Maryland Thing, You Wouldn&#39;t Understand Official Music Video by Jimmy Charles",Maryland Music Video by Jimmy Charles
Best Reggae Music Hits 2022 - Best Reggae Popular Songs 2022-- BEST ENGLISH REGGAE LOVE SONGS 2022,Reggae Music Compilation 2022
Backrooms - Missing Tapes,Office Storage - Misplaced Recordings
New Christian Worship Songs 2022 With Lyrics - Best Christian Gospel Songs Lyrics Playlist,Compilation of Christian Songs with Lyrics for 2022
The Weeknd - Save Your Tears (Official Music Video),The Weeknd - Save Your Tears (Official Music Video)
Music Mix 2022 🎧 Remixes of Popular Songs 🎧 EDM Gaming Music Mix,2022 Music Mix with Remixes of Popular Songs and EDM Gaming Music
2Rare - &quot;Cupid Remix&quot; (Official Music Video),Cupid Remix by 2Rare
Coldplay Greatest Hits Full Album 2022 - Coldplay Best Songs Playlist 2022,Coldplay Compilation Album 2022
Relaxing Whiskey Blues Music | Beautiful Relaxing Blues Ballads | Best Compilation Blues Music,Compilation of Blues Music
Best Gaming Music 2022 ♫ EDM Remixes of Popular Songs ♫ Best Of EDM,Gaming Music Compilation
訂閱破10萬回饋！2小時 32首 《Music Panda》 純歌曲大特集！,"Music Panda's Pure Song Collection: 2 Hours and 32 Tracks with Over 100,000 Subscribers Giveaway"
ዳርም የላት - New Ethiopian music 2022 - Nahom Mekuria - Darm yelat (Official video),New Ethiopian Music Video Released
OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],OneRepublic releases new music video for Top Gun: Maverick soundtrack.
Piper Rockelle - Tea Party (Official Music Video) ♥️🫖♠️,Tea Party Music Video by Piper Rockelle
"Adie, Janine Berdin - Mahika (Lyrics)",Lyrics for Adie and Janine Berdin's song Mahika
BASS BOOSTED 🔈 CAR BASS MUSIC 2022 🔈 SONGS FOR CAR 2022 🔥 EDM POPULAR SONGS REMIXES,Audio enhancements for vehicles in the upcoming year.
20 Comfort Foods From Around The World,List of 20 Foods That May or May Not Be Comforting Depending on Your Personal Taste Preferences and Cultural Background
Popular Fast-Food Restaurants In Every State | 50 State Favorites,List of Fast-Food Restaurants by State
American Eats Pakistan!! From Street Food to Strange Food!! (Full Documentary),Exploring Pakistani Cuisine: A Comprehensive Documentary
The Most Iconic Food In Every State | 50 State Favorites,State Food Favorites
US vs India McDonald’s | Food Wars | Food Insider,Comparison of McDonald's in the US and India
US vs India Domino’s Pizza | Food Wars | Food Insider,Comparing Pizza Chains in Different Countries
US vs Japan McDonald&#39;s | Food Wars | Food Insider,Comparison of McDonald's in the United States and Japan.
Kids Try Prison Food from Around the World | Kids Try | HiHo Kids,Children Sample Various Prison Meals Globally | HiHo Kids
US vs. India Subway | Food Wars | Food Insider,Comparison of Subway sandwiches in the US and India
Calzones But Fast Food,Fast Food Calzones
4 Levels of Mozzarella Sticks: Amateur to Food Scientist | Epicurious,Making Mozzarella Sticks at Different Skill Levels
I Tasted Every Food At Disneyland,Disneyland Food Review
US vs India KFC | Food Wars | Food Insider,Comparison of KFC in the United States and India.
Eating ONLY KOREAN GROCERY STORE FOOD for 24 Hours! Lotte Mart FOOD TOUR,24 Hour Challenge: Eating Korean Grocery Store Food from Lotte Mart
"MOST POPULAR FOOD FOR ASMR + ALFREDO SAUCE (MOZZARELLA CORN DOG, NUGGETS, ONION RINGS, HASH BROWNS)",Food ASMR with Alfredo Sauce
Eating Everything at Asia&#39;s Worst Fast Food Chain!! KFC Should Sue!!,Trying Food at a Mediocre Fast Food Restaurant in Asia
Street Food Singapore!! 5 Hawker FOODS INVENTED in Singapore - with KF Seetoh!,Singaporean Street Food Tour with KF Seetoh
All The Differences Between American And Japanese 7-Eleven | Food Wars | Food Insider,Differences in American and Japanese 7-Eleven Stores
BRAZILIAN STREET FOOD in LOS ANGELES! Insane Brazilian BBQ Meal!,Food Vendors Selling Brazilian Cuisine in LA
Frozen vs. Fast vs. Fancy Food Taste Test,Food Comparison Video
I Ate Gordon Ramsay’s Food For An Entire Day,Eating Gordon Ramsay's Cuisine for 24 Hours
San Sebastian Food Tour - GIANT SCARLET PRAWNS 🦐 + Best Tortilla in Spain!! | Europe Food Paradise,European Food Tour - Seafood and Tortilla
